단어,뜻,발음,예문,예문뜻
KIA Tigers,KIA 타이거즈,ki-a tai-geu-jeu,KIA Tigers play in Gwangju.,KIA 타이거즈는 광주에서 경기한다.
Doosan Bears,두산 베어스,du-san be-eo-seu,Doosan Bears share Jamsil Stadium.,두산 베어스는 잠실야구장을 함께 사용한다.
Lotte Giants,롯데 자이언츠,lot-de ja-i-eon-cheu,Lotte Giants are based in Busan.,롯데 자이언츠는 부산을 연고로 한다.
NC Dinos,NC 다이노스,en-si dai-no-seu,NC Dinos play in Changwon.,NC 다이노스는 창원에서 경기한다.
LG Twins,LG 트윈스,el-ji teu-win-seu,LG Twins play home games in Seoul.,LG 트윈스는 서울에서 홈경기를 한다.
Hanwha Eagles,한화 이글스,han-hwa i-geul-seu,Hanwha Eagles are based in Daejeon.,한화 이글스는 대전을 연고로 한다.
KT Wiz,KT 위즈,kei-ti wi-jeu,KT Wiz play in Suwon.,KT 위즈는 수원에서 경기한다.
Samsung Lions,삼성 라이온즈,sam-seong ra-i-on-jeu,Samsung Lions are based in Daegu.,삼성 라이온즈는 대구를 연고로 한다.
SSG Landers,SSG 랜더스,es-es-ji raen-deo-seu,SSG Landers play in Incheon.,SSG 랜더스는 인천에서 경기한다.
Kiwoom Heroes,키움 히어로즈,ki-um hi-eo-ro-jeu,Kiwoom Heroes play at Gocheok Sky Dome.,키움 히어로즈는 고척 스카이돔에서 경기한다.
