term,meaning,reading,example
Son Heung-min,손흥민,son heung-min,Son Heung-min is a forward for Korea Republic.
Lee Kang-in,이강인,lee kang-in,Lee Kang-in creates chances in midfield.
Hwang In-beom,황인범,hwang in-beom,Hwang In-beom controls the tempo of the match.
Kim Min-jae,김민재,kim min-jae,Kim Min-jae leads the defense.
Cho Gue-sung,조규성,cho gue-sung,Cho Gue-sung is strong in the penalty area.
Oh Hyeon-gyu,오현규,oh hyeon-gyu,Oh Hyeon-gyu can score as a substitute.
Lee Jae-sung,이재성,lee jae-sung,Lee Jae-sung presses and links the attack.
Jung Woo-young,정우영,jung woo-young,Jung Woo-young supports both attack and defense.
Kim Seung-gyu,김승규,kim seung-gyu,Kim Seung-gyu protects the goal.
Seol Young-woo,설영우,seol young-woo,Seol Young-woo plays on the flank.
